Generated by http://statistics.gov.scot,2021-12-13T20:45:35+00:00
http://statistics.gov.scot/data/pupil-attainment,Pupil Attainment
measure type,Count
Reference Period,2012/2013
Number Of Awards,5
SCQF Level,6 And Above
Secondary School Stage,S6
Measure (cell values): ,Count(Pupils)

,,http://statistics.gov.scot/def/concept/gender/all,http://statistics.gov.scot/def/concept/gender/female,http://statistics.gov.scot/def/concept/gender/male
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,All,Female,Male
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,14508,8287,6221
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,385,186,199
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,745,433,312
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,328,213,115
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,237,136,101
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,1023,570,453
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,126,75,51
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,498,282,216
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,305,181,124
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,337,191,146
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,576,321,255
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,321,204,117
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,516,272,244
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,422,251,171
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,927,532,395
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,1072,604,468
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,723,427,296
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,244,157,87
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,213,113,100
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,270,158,112
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,75,46,29
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,366,218,148
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,939,550,389
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,67,42,25
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,452,258,194
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,492,277,215
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,391,205,186
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,81,42,39
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,332,175,157
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,924,530,394
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,352,186,166
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,214,125,89
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,555,327,228
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,101,52,49
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,116,52,64
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,204,106,98
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,234,141,93
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,272,147,125
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,160,98,62
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,268,154,114
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,214,134,80
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,217,137,80
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,169,99,70
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,234,117,117
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,144,92,52
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",168,101,67
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",195,111,84
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,228,127,101
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,272,153,119
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,228,136,92
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,173,103,70
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,151,81,70
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,235,139,96
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,205,109,96
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,161,109,52
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,174,100,74
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,266,153,113
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,158,96,62
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,147,85,62
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,228,130,98
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,265,139,126
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,261,164,97
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,426,229,197
http://statistics.gov.scot/id/statistical-geography/S16000104,Edinburgh Central,77,42,35
